label,country,admin1,lat,lon,pop,domain
"Shallotte, NC",US,North Carolina,33.97323,-78.38584,3991,conus
"Raleigh, NC",US,North Carolina,35.7721,-78.63861,482295,conus
"New York City, NY",US,New York,40.71427,-74.00597,8804190,conus
"Los Angeles, CA",US,California,34.05223,-118.24368,3820914,conus
"Chicago, IL",US,Illinois,41.85003,-87.65005,2664452,conus
"Houston, TX",US,Texas,29.76328,-95.36327,2314157,conus
"Phoenix, AZ",US,Arizona,33.44838,-112.07404,1650070,conus
"Philadelphia, PA",US,Pennsylvania,39.95238,-75.16362,1573916,conus
"San Antonio, TX",US,Texas,29.42412,-98.49363,1526656,conus
"San Diego, CA",US,California,32.71571,-117.16472,1404452,conus
"Dallas, TX",US,Texas,32.78306,-96.80667,1326087,conus
"Jacksonville, FL",US,Florida,30.33218,-81.65565,1009833,conus
"Fort Worth, TX",US,Texas,32.72541,-97.32085,1008106,conus
"San Jose, CA",US,California,37.33939,-121.89496,997368,conus
"Austin, TX",US,Texas,30.26715,-97.74306,974447,conus
"Columbus, OH",US,Ohio,39.96118,-82.99879,913175,conus
"Charlotte, NC",US,North Carolina,35.22709,-80.84313,911311,conus
"Indianapolis, IN",US,Indiana,39.76838,-86.15804,887642,conus
"San Francisco, CA",US,California,37.77493,-122.41942,827526,conus
"Seattle, WA",US,Washington,47.60621,-122.33207,780995,conus
"Denver, CO",US,Colorado,39.73915,-104.9847,729019,conus
"Washington, DC",US,District of Columbia,38.89511,-77.03637,689545,conus
"Nashville, TN",US,Tennessee,36.16589,-86.78444,689447,conus
"Oklahoma City, OK",US,Oklahoma,35.46756,-97.51643,681054,conus
"El Paso, TX",US,Texas,31.75872,-106.48693,678815,conus
"Boston, MA",US,Massachusetts,42.35843,-71.05977,653833,conus
"Portland, OR",US,Oregon,45.52345,-122.67621,652503,conus
"Detroit, MI",US,Michigan,42.33143,-83.04575,645705,conus
"Las Vegas, NV",US,Nevada,36.17497,-115.13722,641903,conus
"Memphis, TN",US,Tennessee,35.14953,-90.04898,633104,conus
"Louisville, KY",US,Kentucky,38.25424,-85.75941,624444,conus
"Baltimore, MD",US,Maryland,39.29038,-76.61219,585708,conus
